Classification,Case Number,Date,Time,Occurred Earliest,Time_Cleaned,Occurred Latest,General Location,Disposition
Trespassing,23-1104-OF,05/27/2023,1:10,05/27/2023 00:40,05/27/2023 00:40,05/27/2023 00:45,Little Hall,Open Investigation
Harassment: Trespassing,23-1126-OF,05/27/2023,23:05,05/27/2023 22:50,05/27/2023 22:50,05/28/2023 23:00,New South,Open Investigation
Assault,"23-25-AR, 23-26-AR 23-27-AR, 23-28-AR (23-1125-OF)",05/27/2023,21:51,05/27/2023 21:51,05/27/2023 21:51,05/27/2023 21:51,Powers Field,Arrest
Harassment,23-1154-OF,05/27/2023,23:30,05/29/2023 12:49,05/29/2023 12:49,05/29/2023 12:49,Little Hall,Open Investigation
Criminal Mischief,23-1076-OF,05/25/2023,13:14,5/8/23 8:00,8/5/2023 8:00,05/25/2023 13:14,Bloomberg Hall,Open Investigation
Attempted Fraud,23-1071-OF,05/24/2023,16:27,05/23/2023 12:11,05/23/2023 12:11,05/23/2023 12:11,200 Elm Drive,Open Investigation
Criminal Mischief,23-1065-OF,05/23/2023,7:27,8/1/22 8:00,1/8/2022 8:00,05/23/2023 07:27,Fu Hall,Open Investigation
Criminal Mischief,23-1066-OF,05/23/2023,9:18,05/22/2023 20:30,05/22/2023 20:30,05/23/2023 09:11,Lakeside Building,Open Investigation
Criminal Mischief,23-1069-OF,05/23/2023,22:52,05/23/2023 22:42,05/23/2023 22:42,05/23/2023 22:52,Little Hall,Open Investigation
Criminal Mischief,23-1087-OF,05/26/2023,9:55,05/25/2023 15:30,05/25/2023 15:30,05/26/2023 09:55,Wendell Hall,Open Investigation
Criminal Mischief,23-1088-OF,05/26/2023,10:02,05/25/2023 15:00,05/25/2023 15:00,05/26/2023 09:45,1901 Hall,Open Investigation
Criminal Mischief,23-1089-OF,05/26/2023,10:34,05/26/2023 06:45,05/26/2023 06:45,05/26/2023 10:30,Parking Lot 20,Open Investigation
Criminal Mischief,23-1114-OF,05/27/2023,15:40,05/27/2023 15:40,05/27/2023 15:40,05/27/2023 15:40,Wendell Hall,Open Investigation
Criminal Mischief,23-1115-OF,05/27/2023,15:54,05/26/2023 14:00,05/26/2023 14:00,05/27/202 07:30,Wendell Hall,Open Investigation
Criminal Mischief,23-1141-OF,05/28/2023,4:10,05/28/2023 04:10,05/28/2023 04:10,05/28/2023 04:10,Carl Icahn Laboratory,Open Investigation
Fraud,23-1000-OF,5/11/23,14:55,5/11/23 2:30,11/5/2023 2:30,5/11/23 14:55,200 Elm Drive,Open Investigation
Theft,23-1024-OF,05/16/2023,8:29,5/12/23 12:00,12/5/2023 12:00,05/14/2023 18:00,East Pyne Hall,Open Investigation
Theft,23-1040-OF,05/18/2023,10:48,05/15/2023 19:00,05/15/2023 19:00,05/16/2023 07:00,Grousbeck Hall,Open Investigation
Theft,23-1055-OF,05/21/2023,9:31,05/19/2023 15:10,05/19/2023 15:10,05/21/2023 08:00,University Place,Open Investigation
Theft,23-1061-OF,05/22/2023,12:19,05/19/2023 17:00,05/19/2023 17:00,05/22/2023 09:00,Hoyt Chemical Laboratory,Open Investigation
Theft,23-1067-OF,05/23/2023,20:13,05/23/2023 19:00,05/23/2023 19:00,05/23/2023 19:30,New Grad College,Open Investigation
Theft,23-1082-OF,05/26/2023,1:24,05/25/2023 20:30,05/25/2023 20:30,05/26/2023 01:24,Dillon Gym,Open Investigation
Theft,23-1104-OF,05/27/2023,1:10,05/27/2023 00:40,05/27/2023 00:40,05/27/2023 00:45,Little Hall,Open Investigation
Theft,23-1136-OF,05/28/2023,2:26,05/28/2023 02:15,05/28/2023 02:15,05/28/2023 02:20,Yoseloff Hall,Open Investigation
Theft,23-1149-OF,05/28/2023,22:08,05/28/2023 16:00,05/28/2023 16:00,05/28/2023 22:08,Dod Hall,Open Investigation
Theft,23-1156-OF,05/29/2023,15:09,05/29/2023 13:50,05/29/2023 13:50,05/29/2023 14:15,Olden House,Open Investigation
Rape,23-1160-OF,05/29/2023,23:22,5/1/22 0:00,1/5/2022 0:00,05/31/2022 23:59,New Grad College,Open Investigation
Harassment,23-1172-OF,05/31/2023,13:59,05/30/2023 15:00,05/30/2023 15:00,05/30/2023 16:00,Lawrence Apartments,Open Investigation
Harassment: Bias Incident,23-1173-OF,05/31/2023,13:31,05/29/2023 09:00,05/29/2023 09:00,05/31/2023 08:30,Frist Campus Center,Open Investigation
Harassment,23-1209-OF,6/12/23,15:05,6/11/23 18:00,11/6/2023 18:00,6/12/23 15:05,Lawrence Apartments,Open Investigation
Trespassing,23-24-AR,06/13/2023,9:18,06/13/2023 09:55,06/13/2023 09:55,06/13/2023 09:55,Lakeside Apartments,Arrest
Harassment,23-1230-OF,06/19/2023,10:09,06/17/2023 18:33,06/17/2023 18:33,06/19/2023 09:02,200 Elm Drive,Open Investigation
Terroristic Threats,23-1237-OF,06/20/2023,12:28,06/16/2023 09:15,06/16/2023 09:15,06/16/2023 09:15,Helm Building,Open Investigation
Harassment: Domestic Violence,23-1239-OF,06/20/2023,22:05,06/20/2023 22:05,06/20/2023 22:05,06/20/2023 22:05,Lakeside Apartments,Open Investigation
Trespassing,23-1247-OF,06/23/2023,10:55,06/20/2023 11:00,06/20/2023 11:00,06/23/2023 11:39,Lewis Center for the Arts,Open Investigation
Harassment: Bias Incident,23-1256-OF,06/28/2023,9:36,06/28/2023 08:16,06/28/2023 08:16,06/28/2023 08:16,Nassau Hall,Open Investigation
Harassment,23-1264-OF,06/30/2023,10:23,6/10/23 10:23,10/6/2023 10:23,06/30/2023 11:33,Frist Campus Center,Open Investigation
Harassment,23-1266-OF,7/1/23,13:43,7/1/23 13:43,1/7/2023 13:43,7/1/23 13:43,Princeton Station & Platform,Open Investigation
Shoplifting,23-1269-OF,7/2/23,1:55,7/2/23 1:55,2/7/2023 1:55,7/2/23 1:55,152 Alexander Street,Open Investigation
Harassment,23-1273-OF,7/2/23,17:10,7/2/23 16:00,2/7/2023 16:00,7/2/23 16:00,Nassau Hall,Open Investigation
Service of Warrant,23-31-AR,7/2/23,11:49,7/2/23 11:49,2/7/2023 11:49,7/2/23 11:49,200 Elm Drive,Arrest
Trespassing,23-1285-OF,7/6/23,15:49,7/6/23 15:49,6/7/2023 15:49,7/6/23 15:49,Wawa,Open Investigation
Trespassing,23-1289-OF,7/7/23,9:04,7/7/23 8:45,7/7/2023 8:45,7/7/23 9:00,4 Mercer Street,Open Investigation
Assault,23-1312-OF,07/14/2023,15:28,07/14/2023 15:15,07/14/2023 15:15,07/14/2023 15:20,West Sailing Pavilion,Open Investigation
Shoplifting,23-1355-OF,07/28/2023,23:39,07/28/2023 23:39,07/28/2023 23:39,07/29/2023 00:08,Wawa,Closed
Theft,23-1551-OF 23-35-AR,9/6/23,22:20,9/3/23 19:50,3/9/2023 19:50,9/6/23 20:00,Bloomberg Hall,Arrest
Harassment: Bias Incident,23-1564-OF,9/8/23,17:39,08/28/2023 00:01,08/28/2023 00:01,9/8/23 17:00,Morrison Hall,Open Investigation
Assault,23-1579-OF,9/10/23,1:00,9/10/23 0:36,10/9/2023 0:36,9/10/23 0:50,Old Graduate College,Open Investigation
Defiant Trespass,23-33-AR,9/9/23,17:46,9/9/23 17:46,9/9/2023 17:46,9/9/23 17:46,Lewis Center for the Arts,Arrest
Shoplifting,23-34-AR (23-1615-OF),09/13/2023,15:33,09/13/2023 09:30,09/13/2023 09:30,09/13/2023 12:20,Art Museum Store,Arrest
Trespassing,23-40-AR (23-1861-OF),10/15/2023,18:02,10/15/2023 18:02,10/15/2023 18:02,10/15/2023 18:10,Bendheim Center for Finance,Arrest
Defiant Trespass,23-40-AR,10/16/2023,12:21,10/16/2023 12:55,10/16/2023 12:55,10/16/2023 12:55,Witherspoon St,Arrest
Defiant Trespass,23-1862-OF,10/16/2023,16:29,10/16/2023 16:29,10/16/2023 16:29,10/16/2023 16:29,Sherrerd Hall,Open Investigation
Bias Intimidation,23-1871-OF,10/17/2023,23:05,10/17/2023 21:50,10/17/2023 21:50,10/17/2023 22:10,1981 Hall,Open Investigation
Shoplifting,23-1881-OF,10/20/2023,12:12,09/21/2023 11:48,09/21/2023 11:48,09/21/2023 12:10,University Store,Open Investigation
Terroristic Threats,23-1900-OF,10/23/2023,9:57,10/23/2023 09:57,10/23/2023 09:57,10/23/2023 10:00,Princeton Plasma Physics Laboratory,Open Investigation
False Public Alarm,23-1922-OF,10/25/2023,9:41,10/25/2023 09:41,10/25/2023 09:41,10/25/2023 09:41,Frit Campus Center,Open Investigation
Theft,23-1896-OF,10/22/2023,23:11,10/13/2023 01:00,10/13/2023 01:00,10/22/2023 20:00,Kwanza Marion Jones Hall,Open Investigation
Theft,23-1877-OF,10/19/2023,16:30,10/18/2023 16:00,10/18/2023 16:00,10/18/2023 16:50,Bowen Hall,Open Investigation
Theft,23-1875-OF,10/18/2023,19:53,10/16/2023 09:00,10/16/2023 09:00,10/18/2023 19:30,Train Station,Open Investigation
Theft,23-1175-OF,6/1/23,11:39,05/31/2023 14:40,05/31/2023 14:40,05/31/2023 17:40,1903 Hall,Open Investigation
Theft,23-1181-OF,6/2/23,17:15,6/2/23 15:30,2/6/2023 15:30,6/2/23 17:00,Thomas Laboratory,Open Investigation
Theft,23-1183-OF,6/3/23,12:27,6/2/23 22:30,2/6/2023 22:30,6/3/23 11:15,Pyne Hall,Open Investigation
Theft,23-1186-OF,6/4/23,18:57,6/4/23 18:57,4/6/2023 18:57,6/4/23 18:57,Princeton Stadium,Open Investigation
Theft,23-1193-OF,6/8/23,7:12,6/7/23 9:00,7/6/2023 9:00,6/07/2023 12:00 L,ake Campus Construction,Open Investigation
Theft,23-1197-OF,6/9/23,7:42,6/9/23 7:42,9/6/2023 7:42,6/9/23 7:42,University Store,Open Investigation
Theft,23-1211-OF,6/12/23,22:41,6/12/23 16:00,12/6/2023 16:00,6/12/23 20:00,Theater Garage,Open Investigation
Theft,23-1216-OF,06/14/2023,12:14,05/24/2023 10:00,05/24/2023 10:00,05/24/2023 12:00,Shea Rowing Center,Open Investigation
Fraud,23-1223-OF,06/16/2023,20:43,06/14/2023 19:22,06/14/2023 19:22,06/16/2023 20:44,Jose E. Feliciano Hall,Open Investigation
Theft,23-1245-OF,06/22/2023,15:10,06/22/2023 15:06,06/22/2023 15:06,03/22/2023 15:08,36 University Place,Open Investigation
Theft,23-1255-OF,06/27/2023,8:56,05/29/2023 00:01,05/29/2023 00:01,06/26/2023 23:59,Firestone Library,Open Investigation
Theft,23-1263-OF,06/29/2023,16:17,06/28/2023 18:30,06/28/2023 18:30,06/29/2023 14:45,Engineering Quad,Open Investigation
Theft,23-1272-OF,7/2/23,15:07,7/2/23 13:40,2/7/2023 13:40,7/2/23 13:43,Springdale Club House,Open Investigation
Theft,23-1277-OF,7/3/23,16:49,7/3/23 16:34,3/7/2023 16:34,7/3/23 16:49,Frick Chemistry Lab,Open Investigation
Theft,23-1306-OF,7/12/23,15:04,7/12/23 0:30,12/7/2023 0:30,7/12/23 10:00,Dinky Bar & Kitchen,Open Investigation
Theft,23-1307-OF,07/13/2023,0:25,7/8/23 18:00,8/7/2023 18:00,07/13/2023 10:00,Wendell Hall,Open Investigation
Fraud,23-1308-OF,07/13/2023,16:22,7/10/23 14:00,10/7/2023 14:00,7/12/23 8:00,Aliya Kanji Hall,Open Investigation
Fraud,23-1310-OF,07/14/2023,13:35,07/13/2023 21:00,07/13/2023 21:00,07/14/2023 00:00,Woodlands Way,Open Investigation
